team,venue_id,venue_name,distance_km,timezone_delta,travel_fatigue_index,altitude_delta_m,eastward_penalty
Egypt,12,New York/New Jersey Stadium,9020.87,-7,63.752,9.0,0
Egypt,13,Philadelphia Stadium,9152.92,-7,63.854,1.0,0
Egypt,14,San Francisco Bay Area Stadium,12013.61,-10,93.939,1.0,0
Egypt,15,Seattle Stadium,10986.65,-10,93.045,3.0,0
Egypt,16,Toronto Stadium,9212.35,-7,63.899,85.0,0
England,1,Atlanta Stadium,6768.43,-6,52.921,290.0,0
England,2,BC Place Vancouver,7578.4,-8,71.466,11.0,0
England,3,Boston Stadium,5295.69,-5,42.874,83.0,0
England,4,Dallas Stadium,7638.62,-6,53.647,149.0,0
England,5,Guadalajara Stadium,9092.11,-7,63.807,1566.0,0
England,6,Houston Stadium,7812.08,-6,53.781,15.0,0
England,7,Kansas City Stadium,6988.28,-6,53.113,273.0,0
England,8,Los Angeles Stadium,8741.63,-8,72.608,247.0,0
England,9,Mexico City Stadium,8941.13,-7,63.69,2287.0,0
England,10,Miami Stadium,7125.03,-5,44.358,12.0,0
England,11,Monterrey Stadium,8461.95,-7,63.304,549.0,0
England,12,New York/New Jersey Stadium,5567.7,-5,43.125,9.0,0
England,13,Philadelphia Stadium,5702.29,-5,43.244,1.0,0
England,14,San Francisco Bay Area Stadium,8629.83,-8,72.505,1.0,0
England,15,Seattle Stadium,7700.74,-8,71.594,3.0,0
England,16,Toronto Stadium,5716.08,-5,43.256,85.0,0
France,1,Atlanta Stadium,7036.07,-6,53.154,290.0,0
France,2,BC Place Vancouver,7921.04,-8,71.819,11.0,0
France,3,Boston Stadium,5562.1,-5,43.12,83.0,0
France,4,Dallas Stadium,7931.55,-6,53.872,149.0,0
France,5,Guadalajara Stadium,9373.64,-7,64.02,1566.0,0
France,6,Houston Stadium,8094.84,-6,53.995,15.0,0
France,7,Kansas City Stadium,7290.93,-6,53.367,273.0,0
France,8,Los Angeles Stadium,9071.55,-8,72.904,247.0,0
France,9,Mexico City Stadium,9208.38,-7,63.896,2287.0,0
France,10,Miami Stadium,7354.76,-5,44.516,12.0,0
France,11,Monterrey Stadium,8747.02,-7,63.536,549.0,0
France,12,New York/New Jersey Stadium,5835.26,-5,43.359,9.0,0
France,13,Philadelphia Stadium,5969.07,-5,43.473,1.0,0
France,14,San Francisco Bay Area Stadium,8966.18,-8,72.811,1.0,0
France,15,Seattle Stadium,8042.62,-8,71.941,3.0,0
France,16,Toronto Stadium,6004.36,-5,43.502,85.0,0
Germany,1,Atlanta Stadium,7575.64,-7,62.53,290.0,0
Germany,2,BC Place Vancouver,7976.79,-9,80.86,11.0,0
Germany,3,Boston Stadium,6113.33,-6,52.31,83.0,0
Germany,4,Dallas Stadium,8376.06,-7,63.233,149.0,0
Germany,5,Guadalajara Stadium,9854.98,-8,73.567,1566.0,0
Germany,6,Houston Stadium,8578.03,-7,63.4,15.0,0
Germany,7,Kansas City Stadium,7696.93,-7,62.641,273.0,0
Germany,8,Los Angeles Stadium,9295.68,-9,82.237,247.0,0
Germany,9,Mexico City Stadium,9739.6,-8,73.472,2287.0,0
Germany,10,Miami Stadium,7993.98,-6,53.919,12.0,0
Germany,11,Monterrey Stadium,9218.21,-8,73.032,549.0,0
Germany,12,New York/New Jersey Stadium,6381.4,-6,52.568,9.0,0
Germany,13,Philadelphia Stadium,6516.8,-6,52.694,1.0,0
Germany,14,San Francisco Bay Area Stadium,9125.51,-9,82.07,1.0,0
Germany,15,Seattle Stadium,8119.25,-9,81.019,3.0,0
Germany,16,Toronto Stadium,6479.47,-6,52.659,85.0,0
Ghana,1,Atlanta Stadium,9126.83,-6,54.715,290.0,0
Ghana,2,BC Place Vancouver,11808.37,-8,75.013,11.0,0
Ghana,3,Boston Stadium,8033.23,-5,44.957,83.0,0
Ghana,4,Dallas Stadium,10281.0,-6,55.429,149.0,0
Ghana,5,Guadalajara Stadium,11144.53,-7,65.232,1566.0,0
Ghana,6,Houston Stadium,10201.01,-6,55.382,15.0,0
Ghana,7,Kansas City Stadium,9984.57,-6,55.253,273.0,0
Ghana,8,Los Angeles Stadium,12160.5,-8,75.248,247.0,0
Ghana,9,Mexico City Stadium,10735.83,-7,64.97,2287.0,0
Ghana,10,Miami Stadium,8737.23,-5,45.377,12.0,0
Ghana,11,Monterrey Stadium,10744.16,-7,64.975,549.0,0
Ghana,12,New York/New Jersey Stadium,8246.81,-5,45.089,9.0,0
Ghana,13,Philadelphia Stadium,8331.25,-5,45.139,1.0,0
Ghana,14,San Francisco Bay Area Stadium,12333.91,-8,75.362,1.0,0
Ghana,15,Seattle Stadium,11848.62,-8,75.04,3.0,0
Ghana,16,Toronto Stadium,8711.92,-5,45.363,85.0,0
Haiti,1,Atlanta Stadium,2070.5,-1,7.636,290.0,0
Haiti,2,BC Place Vancouver,5645.35,-3,25.916,11.0,0
Haiti,3,Boston Stadium,2614.56,0,0.0,83.0,0
Haiti,4,Dallas Stadium,2902.08,-1,7.974,149.0,0
Haiti,5,Guadalajara Stadium,3254.19,-2,16.176,1566.0,0
Haiti,6,Houston Stadium,2641.29,-1,7.879,15.0,0
Haiti,7,Kansas City Stadium,3119.54,-1,8.046,273.0,0
Haiti,8,Los Angeles Stadium,4838.38,-3,25.454,247.0,0
Haiti,9,Mexico City Stadium,2821.37,-2,15.891,2287.0,0
Haiti,10,Miami Stadium,1138.22,0,0.0,12.0,0
Haiti,11,Monterrey Stadium,2984.18,-2,16.003,549.0,0
Haiti,12,New York/New Jersey Stadium,2476.39,0,0.0,9.0,0
Haiti,13,Philadelphia Stadium,2390.02,0,0.0,1.0,0
Haiti,14,San Francisco Bay Area Stadium,5234.49,-3,25.69,1.0,0
Haiti,15,Seattle Stadium,5531.78,-3,25.855,3.0,0
Haiti,16,Toronto Stadium,2862.6,0,0.0,85.0,0
Iraq,1,Atlanta Stadium,10835.28,-9,83.616,290.0,0
Iraq,2,BC Place Vancouver,10748.04,-11,102.108,11.0,0
Iraq,3,Boston Stadium,9369.91,-8,73.163,83.0,0
Iraq,4,Dallas Stadium,11614.86,-9,84.241,149.0,0
Iraq,5,Guadalajara Stadium,13103.32,-10,94.807,1566.0,0
Iraq,6,Houston Stadium,11830.99,-9,84.407,15.0,0
Iraq,7,Kansas City Stadium,10919.55,-9,83.686,273.0,0
Iraq,8,Los Angeles Stadium,12293.66,-11,103.586,247.0,0
Iraq,9,Mexico City Stadium,12999.61,-10,94.728,2287.0,0
Iraq,10,Miami Stadium,11211.86,-8,74.599,12.0,0
Iraq,11,Monterrey Stadium,12464.91,-10,94.308,549.0,0
Iraq,12,New York/New Jersey Stadium,9639.23,-8,73.39,9.0,0
Iraq,13,Philadelphia Stadium,9774.53,-8,73.501,1.0,0
Iraq,14,San Francisco Bay Area Stadium,12025.2,-11,103.343,1.0,0
Iraq,15,Seattle Stadium,10921.2,-11,102.284,3.0,0
Iraq,16,Toronto Stadium,9735.59,-8,73.469,85.0,0
Japan,1,Atlanta Stadium,11038.9,-15,139.639,290.0,0
Japan,2,BC Place Vancouver,7557.01,-17,151.816,11.0,0
Japan,3,Boston Stadium,10814.01,-14,130.042,83.0,0
Japan,4,Dallas Stadium,10403.44,-15,138.75,149.0,0
Japan,5,Guadalajara Stadium,10896.85,-16,148.741,1566.0,0
Japan,6,Houston Stadium,10744.06,-15,139.233,15.0,0
Japan,7,Kansas City Stadium,10021.58,-15,138.189,273.0,0
Japan,8,Los Angeles Stadium,8817.9,-17,154.439,247.0,0
Japan,9,Mexico City Stadium,11318.73,-16,149.349,2287.0,0
Japan,10,Miami Stadium,12002.27,-14,131.501,12.0,0
Japan,11,Monterrey Stadium,10731.81,-16,148.497,549.0,0
Japan,12,New York/New Jersey Stadium,10839.14,-14,130.074,9.0,0
Japan,13,Philadelphia Stadium,10881.15,-14,130.128,1.0,0
Japan,14,San Francisco Bay Area Stadium,8330.49,-17,153.473,1.0,0
Japan,15,Seattle Stadium,7701.21,-17,152.137,3.0,0
Japan,16,Toronto Stadium,10351.96,-14,129.43,85.0,0
Jordan,1,Atlanta Stadium,10402.61,-8,73.999,290.0,0
